Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 44, Total Iterations: 19700, Iteration per second: 447.727273, Best solution: 964882 found at 27s
Seconds: 44, Total Iterations: 19800, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 44, Total Iterations: 19900, Iteration per second: 452.272727, Best solution: 964882 found at 27s
Seconds: 44, Total Iterations: 20000, Iteration per second: 454.545455, Best solution: 964882 found at 27s
Seconds: 44, Total Iterations: 20100, Iteration per second: 456.818182, Best solution: 964882 found at 27s
Seconds: 45, Total Iterations: 20200, Iteration per second: 448.888889, Best solution: 964882 found at 27s
Seconds: 45, Total Iterations: 20300, Iteration per second: 451.111111, Best solution: 964882 found at 27s
Seconds: 45, Total Iterations: 20400, Iteration per second: 453.333333, Best solution: 964882 found at 27s
Seconds: 45, Total Iterations: 20500, Iteration per second: 455.555556, Best solution: 964882 found at 27s
Seconds: 46, Total Iterations: 20600, Iteration per second: 447.826087, Best solution: 964882 found at 27s
Seconds: 46, Total Iterations: 20700, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 46, Total Iterations: 20800, Iteration per second: 452.173913, Best solution: 964882 found at 27s
Seconds: 46, Total Iterations: 20900, Iteration per second: 454.347826, Best solution: 964882 found at 27s
Seconds: 46, Total Iterations: 21000, Iteration per second: 456.521739, Best solution: 965306 found at 46s
Seconds: 47, Total Iterations: 21100, Iteration per second: 448.936170, Best solution: 965306 found at 46s
Seconds: 47, Total Iterations: 21200, Iteration per second: 451.063830, Best solution: 965306 found at 46s
Seconds: 47, Total Iterations: 21300, Iteration per second: 453.191489, Best solution: 965306 found at 46s
Seconds: 47, Total Iterations: 21400, Iteration per second: 455.319149, Best solution: 965306 found at 46s
Seconds: 48, Total Iterations: 21500, Iteration per second: 447.916667, Best solution: 965306 found at 46s
Seconds: 48, Total Iterations: 21600, Iteration per second: 450.000000, Best solution: 965306 found at 46s
Seconds: 48, Total Iterations: 21700, Iteration per second: 452.083333, Best solution: 965307 found at 48s
Seconds: 48, Total Iterations: 21800, Iteration per second: 454.166667, Best solution: 965307 found at 48s
Seconds: 48, Total Iterations: 21900, Iteration per second: 456.250000, Best solution: 965307 found at 48s
Seconds: 49, Total Iterations: 22000, Iteration per second: 448.979592, Best solution: 965307 found at 48s
Seconds: 49, Total Iterations: 22100, Iteration per second: 451.020408, Best solution: 965307 found at 48s
Seconds: 49, Total Iterations: 22200, Iteration per second: 453.061224, Best solution: 965307 found at 48s
Seconds: 49, Total Iterations: 22300, Iteration per second: 455.102041, Best solution: 965307 found at 48s
Seconds: 49, Total Iterations: 22400, Iteration per second: 457.142857, Best solution: 965307 found at 48s
Seconds: 50, Total Iterations: 22500, Iteration per second: 450.000000, Best solution: 965307 found at 48s
Seconds: 50, Total Iterations: 22600, Iteration per second: 452.000000, Best solution: 965307 found at 48s
Seconds: 50, Total Iterations: 22700, Iteration per second: 454.000000, Best solution: 965307 found at 48s
Seconds: 50, Total Iterations: 22800, Iteration per second: 456.000000, Best solution: 965307 found at 48s
Seconds: 51, Total Iterations: 22900, Iteration per second: 449.019608, Best solution: 965307 found at 48s
Seconds: 51, Total Iterations: 23000, Iteration per second: 450.980392, Best solution: 965307 found at 48s
Seconds: 51, Total Iterations: 23100, Iteration per second: 452.941176, Best solution: 965307 found at 48s
Seconds: 51, Total Iterations: 23200, Iteration per second: 454.901961, Best solution: 965307 found at 48s
Seconds: 51, Total Iterations: 23300, Iteration per second: 456.862745, Best solution: 965307 found at 48s
Seconds: 52, Total Iterations: 23400, Iteration per second: 450.000000, Best solution: 965307 found at 48s
Seconds: 52, Total Iterations: 23500, Iteration per second: 451.923077, Best solution: 965307 found at 48s
Seconds: 52, Total Iterations: 23600, Iteration per second: 453.846154, Best solution: 965307 found at 48s
Seconds: 52, Total Iterations: 23700, Iteration per second: 455.769231, Best solution: 965307 found at 48s
Seconds: 53, Total Iterations: 23800, Iteration per second: 449.056604, Best solution: 965307 found at 48s
Seconds: 53, Total Iterations: 23900, Iteration per second: 450.943396, Best solution: 965307 found at 48s
Seconds: 53, Total Iterations: 24000, Iteration per second: 452.830189, Best solution: 965320 found at 53s
Seconds: 53, Total Iterations: 24100, Iteration per second: 454.716981, Best solution: 965381 found at 53s
Seconds: 53, Total Iterations: 24200, Iteration per second: 456.603774, Best solution: 965381 found at 53s
Seconds: 54, Total Iterations: 24300, Iteration per second: 450.000000, Best solution: 965381 found at 53s
Seconds: 54, Total Iterations: 24400, Iteration per second: 451.851852, Best solution: 965863 found at 54s
Seconds: 54, Total Iterations: 24500, Iteration per second: 453.703704, Best solution: 965863 found at 54s
Seconds: 54, Total Iterations: 24600, Iteration per second: 455.555556, Best solution: 965863 found at 54s
Seconds: 54, Total Iterations: 24700, Iteration per second: 457.407407, Best solution: 965863 found at 54s
Seconds: 55, Total Iterations: 24800, Iteration per second: 450.909091, Best solution: 965863 found at 54s
Seconds: 55, Total Iterations: 24900, Iteration per second: 452.727273, Best solution: 965863 found at 54s
Seconds: 55, Total Iterations: 25000, Iteration per second: 454.545455, Best solution: 965865 found at 55s
Seconds: 55, Total Iterations: 25100, Iteration per second: 456.363636, Best solution: 965865 found at 55s
Seconds: 56, Total Iterations: 25200, Iteration per second: 450.000000, Best solution: 965865 found at 55s
Seconds: 56, Total Iterations: 25300, Iteration per second: 451.785714, Best solution: 965865 found at 55s
Seconds: 56, Total Iterations: 25400, Iteration per second: 453.571429, Best solution: 965865 found at 55s
Seconds: 56, Total Iterations: 25500, Iteration per second: 455.357143, Best solution: 965865 found at 55s
Seconds: 56, Total Iterations: 25600, Iteration per second: 457.142857, Best solution: 965865 found at 55s
Seconds: 57, Total Iterations: 25700, Iteration per second: 450.877193, Best solution: 965865 found at 55s
Seconds: 57, Total Iterations: 25800, Iteration per second: 452.631579, Best solution: 965865 found at 55s
Seconds: 57, Total Iterations: 25900, Iteration per second: 454.385965, Best solution: 965865 found at 55s
Seconds: 57, Total Iterations: 26000, Iteration per second: 456.140351, Best solution: 965865 found at 55s
Seconds: 58, Total Iterations: 26100, Iteration per second: 450.000000, Best solution: 965865 found at 55s
Seconds: 58, Total Iterations: 26200, Iteration per second: 451.724138, Best solution: 965865 found at 55s
Seconds: 58, Total Iterations: 26300, Iteration per second: 453.448276, Best solution: 965865 found at 55s
Seconds: 58, Total Iterations: 26400, Iteration per second: 455.172414, Best solution: 965865 found at 55s
Seconds: 58, Total Iterations: 26500, Iteration per second: 456.896552, Best solution: 965865 found at 55s
Seconds: 59, Total Iterations: 26600, Iteration per second: 450.847458, Best solution: 965865 found at 55s
Seconds: 59, Total Iterations: 26700, Iteration per second: 452.542373, Best solution: 965865 found at 55s
Seconds: 59, Total Iterations: 26800, Iteration per second: 454.237288, Best solution: 965865 found at 55s
Seconds: 59, Total Iterations: 26900, Iteration per second: 455.932203, Best solution: 965865 found at 55s
Seconds: 60, Total Iterations: 27000, Iteration per second: 450.000000, Best solution: 965865 found at 55s
Seconds: 60, Total Iterations: 27100, Iteration per second: 451.666667, Best solution: 965865 found at 55s
Seconds: 60, Total Iterations: 27200, Iteration per second: 453.333333, Best solution: 965865 found at 55s
Seconds: 60, Total Iterations: 27300, Iteration per second: 455.000000, Best solution: 965865 found at 55s
Seconds: 61, Total Iterations: 27400, Iteration per second: 449.180328, Best solution: 965865 found at 55s
Seconds: 61, Total Iterations: 27500, Iteration per second: 450.819672, Best solution: 965865 found at 55s
Seconds: 61, Total Iterations: 27600, Iteration per second: 452.459016, Best solution: 965865 found at 55s
Seconds: 61, Total Iterations: 27700, Iteration per second: 454.098361, Best solution: 965865 found at 55s
Seconds: 61, Total Iterations: 27800, Iteration per second: 455.737705, Best solution: 965865 found at 55s
Seconds: 62, Total Iterations: 27900, Iteration per second: 450.000000, Best solution: 965865 found at 55s
Seconds: 62, Total Iterations: 28000, Iteration per second: 451.612903, Best solution: 965865 found at 55s
Seconds: 62, Total Iterations: 28100, Iteration per second: 453.225806, Best solution: 965865 found at 55s
Seconds: 62, Total Iterations: 28200, Iteration per second: 454.838710, Best solution: 965865 found at 55s
Seconds: 62, Total Iterations: 28300, Iteration per second: 456.451613, Best solution: 965865 found at 55s
Seconds: 63, Total Iterations: 28400, Iteration per second: 450.793651, Best solution: 965865 found at 55s
Seconds: 63, Total Iterations: 28500, Iteration per second: 452.380952, Best solution: 965865 found at 55s
Seconds: 63, Total Iterations: 28600, Iteration per second: 453.968254, Best solution: 965865 found at 55s
Seconds: 63, Total Iterations: 28700, Iteration per second: 455.555556, Best solution: 965865 found at 55s
Seconds: 64, Total Iterations: 28800, Iteration per second: 450.000000, Best solution: 965865 found at 55s
Seconds: 64, Total Iterations: 28900, Iteration per second: 451.562500, Best solution: 965865 found at 55s
Seconds: 64, Total Iterations: 29000, Iteration per second: 453.125000, Best solution: 965865 found at 55s
Seconds: 64, Total Iterations: 29100, Iteration per second: 454.687500, Best solution: 965865 found at 55s
Seconds: 64, Total Iterations: 29200, Iteration per second: 456.250000, Best solution: 965865 found at 55s
Seconds: 65, Total Iterations: 29300, Iteration per second: 450.769231, Best solution: 965865 found at 55s
Seconds: 65, Total Iterations: 29400, Iteration per second: 452.307692, Best solution: 965865 found at 55s
Seconds: 65, Total Iterations: 29500, Iteration per second: 453.846154, Best solution: 965865 found at 55s
Seconds: 65, Total Iterations: 29600, Iteration per second: 455.384615, Best solution: 965865 found at 55s
